Age, Gender, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target
18,M,1,1,1,3,2,2,2432,0,0.6017731
18,M,1,1,2,2,4,4,3854,0,0.852535
18,M,1,1,3,4,3,3,5298,0,0.5498887
18,M,1,1,4,1,4,4,6265,0,0.9518253
18,M,1,1,5,2,3,3,4743,1,0.6326617
18,M,1,1,6,1,2,2,8720,0,0.6723447
18,M,1,1,7,4,1,1,6665,3,0.9262705
18,M,1,1,8,3,4,4,5643,0,0.6572803
18,M,1,1,9,3,3,3,2332,0,0.3812941
18,M,1,1,10,2,2,2,3098,0,0.5288938
18,M,1,1,11,2,1,1,2687,0,0.3304669
18,M,1,1,12,4,4,4,20754,23,0.5606743
18,M,1,1,13,1,1,1,8243,5,0.7606268
18,M,1,1,14,4,2,2,1365,0,0.6573665
18,M,1,1,15,3,1,1,2154,0,0.8907724
18,M,1,1,16,1,3,3,3843,0,0.5153829
18,M,1,2,1,4,5,1,8587,4,0.4606648
18,M,1,2,2,4,8,4,11687,12,0.9295808
18,M,1,2,3,3,6,2,5865,1,0.231108
18,M,1,2,4,2,8,4,2209,1,0.7979053
18,M,1,2,5,1,6,2,2021,0,0.755155
18,M,1,2,6,3,5,1,7109,0,0.4524497
18,M,1,2,7,4,6,2,3654,3,0.7842121
18,M,1,2,8,4,7,3,3765,0,0.06370205
18,M,1,2,9,2,6,2,1798,0,0.677416
18,M,1,2,10,2,7,3,4765,2,0.6688203
18,M,1,2,11,1,5,1,5631,2,0.7404708
18,M,1,2,12,1,8,4,3576,0,0.7370114
18,M,1,2,13,1,7,3,2254,0,0.4456609
18,M,1,2,14,2,5,1,4643,3,0.7857209
18,M,1,2,15,3,8,4,8520,0,0.4278409
18,M,1,2,16,3,7,3,10120,0,0.9826394
18,M,1,3,1,4,9,1,2498,1,0.3618805
18,M,1,3,2,4,10,2,1865,1,0.1766915
18,M,1,3,3,3,12,4,3554,0,0.4742049
18,M,1,3,4,1,10,2,1454,0,0.5080301
18,M,1,3,5,1,12,4,3187,0,0.6538324
18,M,1,3,6,3,9,1,1565,0,0.4828688
18,M,1,3,7,4,11,3,3920,1,0.371939
18,M,1,3,8,2,12,4,1632,0,0.8050891
18,M,1,3,9,1,11,3,4632,0,0.7659338
18,M,1,3,10,2,9,1,3954,2,0.8360142
18,M,1,3,11,4,12,4,4754,1,0.9731099
18,M,1,3,12,2,10,2,1876,0,0.688233
18,M,1,3,13,3,11,3,4298,0,0.927963
18,M,1,3,14,3,10,2,8765,0,0.8977392
18,M,1,3,15,2,11,3,4265,0,0.7017964
18,M,1,3,16,1,9,1,2954,0,0.8988858
18,M,1,4,1,1,16,4,2321,0,0.2174763
18,M,1,4,2,1,13,1,2387,0,0.2865567
18,M,1,4,3,3,14,2,5598,0,0.2926722
18,M,1,4,4,1,15,3,2598,0,0.4793893
18,M,1,4,5,3,13,1,2976,0,0.3795878
18,M,1,4,6,2,16,4,5720,0,0.3708274
18,M,1,4,7,4,14,2,53475,20,0.9567729
18,M,1,4,8,4,16,4,4109,1,0.9106973
18,M,1,4,9,4,15,3,10676,2,0.8446381
18,M,1,4,10,2,14,2,1398,0,0.683212
18,M,1,4,11,2,13,1,2843,0,0.6975109
18,M,1,4,12,2,15,3,2276,0,0.9271219
18,M,1,4,13,4,13,1,3632,0,0.2957721
18,M,1,4,14,1,14,2,2121,0,0.4663849
18,M,1,4,15,3,15,3,3143,0,0.1479184
18,M,1,4,16,3,16,4,2776,0,0.6346179
18,M,1,5,1,1,18,2,6832,0,0.1460843
18,M,1,5,2,3,20,4,6854,0,0.8089106
18,M,1,5,3,3,18,2,2632,0,0.7849388
18,M,1,5,4,2,19,3,3409,0,0.1663605
18,M,1,5,5,4,20,4,6565,5,0.8986667
18,M,1,5,6,4,18,2,2443,1,0.9184078
18,M,1,5,7,3,19,3,2809,0,0.3465456
18,M,1,5,8,3,17,1,1987,0,0.5717081
18,M,1,5,9,1,19,3,3920,0,0.6400704
18,M,1,5,10,4,17,1,7498,6,0.6481651
18,M,1,5,11,1,20,4,2154,0,0.425165
18,M,1,5,12,2,17,1,5232,2,0.2104008
18,M,1,5,13,2,18,2,1309,0,0.6847194
18,M,1,5,14,4,19,3,3398,1,0.5696265
18,M,1,5,15,2,20,4,1865,0,0.8176935
18,M,1,5,16,1,17,1,4387,0,0.566806
18,M,1,6,1,2,23,3,3632,0,0.633433
18,M,1,6,2,4,24,4,1476,0,0.7080709
18,M,1,6,3,4,22,2,1243,0,0.84588
18,M,1,6,4,1,23,3,4187,0,0.2486665
18,M,1,6,5,3,22,2,1565,0,0.6579698
18,M,1,6,6,2,21,1,2398,1,0.9420066
18,M,1,6,7,3,23,3,3110,0,0.5632105
18,M,1,6,8,1,21,1,1987,0,0.9054046
18,M,1,6,9,1,22,2,6298,0,0.565841
18,M,1,6,10,2,24,4,2720,0,0.5231577
18,M,1,6,11,4,21,1,3021,1,0.6208871
18,M,1,6,12,3,24,4,3165,0,0.165928
18,M,1,6,13,2,22,2,1898,1,0.5015902
18,M,1,6,14,3,21,1,1821,0,0.3427984
18,M,1,6,15,4,23,3,3309,0,0.7533094
18,M,1,6,16,1,24,4,2954,0,0.7459322
18,M,1,7,1,2,27,3,11009,5,0.4062299
18,M,1,7,2,3,28,4,3154,0,0.6074955
18,M,1,7,3,3,27,3,2965,1,0.8474134
18,M,1,7,4,4,26,2,7954,1,0.9768683
18,M,1,7,5,2,28,4,9209,7,0.3795889
18,M,1,7,6,1,26,2,5887,0,0.9847948
18,M,1,7,7,1,25,1,1965,0,0.830879
18,M,1,7,8,2,26,2,2909,2,0.7194508
18,M,1,7,9,4,27,3,3665,7,0.4048711
18,M,1,7,10,2,25,1,2054,2,0.7597528
18,M,1,7,11,1,27,3,3032,0,0.7382982
18,M,1,7,12,4,28,4,3043,0,0.7510519
18,M,1,7,13,4,25,1,5387,2,0.5292673
18,M,1,7,14,3,26,2,2309,0,0.6407623
18,M,1,7,15,1,28,4,3109,0,1.023587
18,M,1,7,16,3,25,1,2654,2,0.1940639
18,M,1,8,1,4,32,4,6087,3,0.4803495
18,M,1,8,2,2,29,1,5620,1,0.8193048
18,M,1,8,3,4,31,3,7665,6,0.3772565
18,M,1,8,4,1,30,2,6787,0,0.7463937
18,M,1,8,5,1,32,4,2932,0,0.6830289
18,M,1,8,6,1,31,3,4798,2,0.9303967
18,M,1,8,7,3,29,1,4087,1,1.031463
18,M,1,8,8,2,31,3,4787,0,0.8309087
18,M,1,8,9,2,30,2,3932,5,0.8001105
18,M,1,8,10,1,29,1,1843,0,0.9310039
18,M,1,8,11,4,30,2,1587,0,0.846304
18,M,1,8,12,2,32,4,2754,1,0.7003787
18,M,1,8,13,3,31,3,4387,0,0.8041594
18,M,1,8,14,4,29,1,7732,5,0.62067
18,M,1,8,15,3,32,4,3554,0,0.9987586
18,M,1,8,16,3,30,2,1376,0,0.3852055
18,M,1,9,1,1,35,3,5387,4,0.6300436
18,M,1,9,2,1,33,1,2376,1,0.7604502
18,M,1,9,3,2,34,2,1187,0,0.8996384
18,M,1,9,4,1,36,4,2309,0,0.3361919
18,M,1,9,5,3,33,1,2843,0,0.4503154
18,M,1,9,6,4,34,2,2710,6,0.7067826
18,M,1,9,7,4,33,1,6298,10,0.8074718
18,M,1,9,8,3,35,3,3187,1,0.6796986
18,M,1,9,9,3,36,4,3754,0,0.764916
18,M,1,9,10,1,34,2,3821,0,0.4872264
18,M,1,9,11,2,36,4,2943,0,0.4827823
18,M,1,9,12,2,33,1,6609,1,0.661516
18,M,1,9,13,3,34,2,1487,0,0.3237523
18,M,1,9,14,4,35,3,9043,9,0.4032794
18,M,1,9,15,4,36,4,3876,3,0.658605
18,M,1,9,16,2,35,3,8498,8,0.7128166
18,M,1,10,1,4,38,2,2810,2,0.3891557
18,M,1,10,2,4,37,1,3265,1,0.8957842
18,M,1,10,3,4,39,3,10443,9,0.8591415
18,M,1,10,4,4,40,4,5609,7,0.4477651
18,M,1,10,5,2,38,2,2865,3,0.8532245
18,M,1,10,6,2,39,3,5276,4,0.2468531
18,M,1,10,7,2,40,4,3354,1,0.1948053
18,M,1,10,8,2,37,1,5409,7,0.9633589
18,M,1,10,9,3,40,4,3976,0,0.887641
18,M,1,10,10,1,37,1,2921,0,0.8171247
18,M,1,10,11,1,40,4,2998,0,0.5716041
18,M,1,10,12,3,39,3,4687,1,0.9234515
18,M,1,10,13,1,38,2,9109,2,0.3023808
18,M,1,10,14,3,37,1,2021,0,0.8690777
18,M,1,10,15,1,39,3,4232,0,0.8887327
18,M,1,10,16,3,38,2,4532,0,0.1711461
18,M,1,11,1,4,43,3,3965,5,0.4671507
18,M,1,11,2,4,44,4,2232,0,0.8305605
18,M,1,11,3,2,42,2,3921,12,0.3261239
18,M,1,11,4,2,41,1,2210,0,0.8741185
18,M,1,11,5,3,44,4,3421,1,0.2222351
18,M,1,11,6,3,43,3,3965,3,0.5360112
18,M,1,11,7,3,42,2,2009,0,0.6040749
18,M,1,11,8,3,41,1,2721,2,0.8283609
18,M,1,11,9,1,43,3,3676,0,0.761062
18,M,1,11,10,2,44,4,2732,0,0.881988
18,M,1,11,11,1,42,2,9021,1,0.605185
18,M,1,11,12,1,44,4,4909,1,0.5496498
18,M,1,11,13,2,43,3,16676,4,0.837078
18,M,1,11,14,4,41,1,4420,4,0.6851326
18,M,1,11,15,4,42,2,2187,1,0.9437016
18,M,1,11,16,1,41,1,1965,0,0.793857
18,M,1,12,1,3,46,2,6565,2,0.9775576
18,M,1,12,2,3,48,4,5421,2,0.8079975
18,M,1,12,3,4,47,3,4632,3,0.8148896
18,M,1,12,4,4,45,1,11554,15,0.9852198
18,M,1,12,5,4,46,2,3287,3,0.9135188
18,M,1,12,6,3,45,1,4465,3,0.8893011
18,M,1,12,7,2,46,2,2443,3,0.7977834
18,M,1,12,8,1,48,4,2832,0,0.6261767
18,M,1,12,9,1,45,1,4043,0,0.8250922
18,M,1,12,10,1,47,3,6076,3,0.6592946
18,M,1,12,11,1,46,2,2332,0,0.2579161
18,M,1,12,12,2,48,4,3310,0,0.9020945
18,M,1,12,13,2,47,3,4965,0,0.7369736
18,M,1,12,14,2,45,1,2976,1,0.1849629
18,M,1,12,15,3,47,3,3276,0,0.1908972
18,M,1,12,16,4,48,4,3509,0,0.9626883
18,M,1,13,1,4,49,1,4243,1,0.2258709
18,M,1,13,2,4,51,3,3009,0,0.6728879
18,M,1,13,3,2,49,1,2410,1,0.1474302
18,M,1,13,4,2,51,3,2798,0,0.510089
18,M,1,13,5,4,50,2,2987,0,0.6787172
18,M,1,13,6,1,49,1,3876,0,0.5419114
18,M,1,13,7,3,51,3,3809,1,0.9562634
18,M,1,13,8,3,52,4,4076,0,0.5043762
18,M,1,13,9,1,50,2,1387,0,0.6255497
18,M,1,13,10,1,52,4,2909,0,0.3718505
18,M,1,13,11,2,50,2,1121,0,0.1396378
18,M,1,13,12,2,52,4,1810,1,0.5178965
18,M,1,13,13,3,49,1,9065,5,0.6889871
18,M,1,13,14,4,52,4,2787,0,0.5703651
18,M,1,13,15,3,50,2,2398,3,0.4558235
18,M,1,13,16,1,51,3,3898,0,0.2646255
18,M,1,14,1,1,53,1,3754,1,0.2210777
18,M,1,14,2,2,54,2,1143,0,0.9600832
18,M,1,14,3,2,53,1,2643,0,0.6638658
18,M,1,14,4,1,56,4,2821,0,0.3165057
18,M,1,14,5,1,54,2,5009,0,0.1078352
18,M,1,14,6,4,55,3,4754,2,0.5120179
18,M,1,14,7,2,56,4,1421,0,0.3202183
18,M,1,14,8,4,53,1,2932,0,0.4606754
18,M,1,14,9,4,56,4,6154,1,0.8959369
18,M,1,14,10,2,55,3,3143,1,0.1537984
18,M,1,14,11,4,54,2,1298,0,0.4572808
18,M,1,14,12,3,55,3,3732,1,0.2732112
18,M,1,14,13,3,54,2,5654,0,0.3945517
18,M,1,14,14,3,53,1,9020,1,0.7091898
18,M,1,14,15,1,55,3,3276,0,0.6810939
18,M,1,14,16,3,56,4,2665,1,0.6247907
18,M,1,15,1,4,59,3,2109,0,0.5170591
18,M,1,15,2,2,60,4,1776,1,0.6175547
18,M,1,15,3,3,58,2,2432,0,0.69392
18,M,1,15,4,3,57,1,1665,0,0.6821917
18,M,1,15,5,4,58,2,6754,0,0.157754
18,M,1,15,6,3,60,4,4120,0,0.7586148
18,M,1,15,7,1,59,3,1187,0,0.7428402
18,M,1,15,8,4,60,4,3932,2,1.004897
18,M,1,15,9,4,57,1,2132,0,0.05937233
18,M,1,15,10,2,58,2,1121,0,0.373463
18,M,1,15,11,2,59,3,4532,2,0.4076959
18,M,1,15,12,1,57,1,3587,0,0.170408
18,M,1,15,13,1,58,2,4520,0,0.4100611
18,M,1,15,14,3,59,3,3787,0,0.5039549
18,M,1,15,15,1,60,4,3776,1,0.4756746
18,M,1,15,16,2,57,1,3454,2,0.999916
18,M,1,16,1,1,62,2,1487,0,0.2885115
18,M,1,16,2,2,61,1,2387,1,0.4228778
18,M,1,16,3,3,63,3,3543,0,0.2107477
18,M,1,16,4,4,64,4,3798,0,0.559455
18,M,1,16,5,2,62,2,1110,0,0.6362681
18,M,1,16,6,2,63,3,4710,0,0.6663397
18,M,1,16,7,2,64,4,4432,3,0.6315928
18,M,1,16,8,4,62,2,1065,0,0.3996805
18,M,1,16,9,3,61,1,3131,0,0.4906144
18,M,1,16,10,4,63,3,4176,2,0.9246584
18,M,1,16,11,1,64,4,3143,0,0.7197609
18,M,1,16,12,1,63,3,3309,0,0.2518166
18,M,1,16,13,4,61,1,7276,1,0.5137186
18,M,1,16,14,3,62,2,2543,0,0.5634013
18,M,1,16,15,3,64,4,4487,0,0.7340521
18,M,1,16,16,1,61,1,5476,0,0.4579169
18,M,1,17,1,2,67,3,3943,1,0.4047218
18,M,1,17,2,2,66,2,1143,0,0.5719787
18,M,1,17,3,3,68,4,2298,0,0.1733821
18,M,1,17,4,4,67,3,3676,1,0.3900525
18,M,1,17,5,1,68,4,2276,0,0.1098569
18,M,1,17,6,3,65,1,2565,0,0.3205082
18,M,1,17,7,1,67,3,4176,0,0.3145016
18,M,1,17,8,1,66,2,1476,0,0.2375936
18,M,1,17,9,2,65,1,3576,0,0.3285402
18,M,1,17,10,3,66,2,4320,0,0.1374779
18,M,1,17,11,4,65,1,6132,0,0.307576
18,M,1,17,12,2,68,4,8409,7,0.4395118
18,M,1,17,13,3,67,3,5320,0,0.6421958
18,M,1,17,14,1,65,1,4276,1,0.7334679
18,M,1,17,15,4,66,2,2021,2,0.5114543
18,M,1,17,16,4,68,4,1565,0,0.757458
18,M,1,18,1,3,69,1,3398,0,0.4735397
18,M,1,18,2,1,70,2,7587,0,1.003321
18,M,1,18,3,2,71,3,2198,0,0.8548429
18,M,1,18,4,2,72,4,1310,0,0.4076999
18,M,1,18,5,3,70,2,1065,0,0.605435
18,M,1,18,6,1,71,3,3332,0,0.7044553
18,M,1,18,7,4,72,4,3776,0,0.8292927
18,M,1,18,8,2,69,1,3343,1,0.3963808
18,M,1,18,9,2,70,2,1532,1,0.5519865
18,M,1,18,10,3,71,3,2354,0,0.4808483
18,M,1,18,11,1,69,1,3909,0,0.5143809
18,M,1,18,12,4,70,2,2398,0,0.1621165
18,M,1,18,13,4,69,1,2198,0,0.7804159
18,M,1,18,14,3,72,4,2765,0,0.4175344
18,M,1,18,15,4,71,3,3865,1,0.7618586
18,M,1,18,16,1,72,4,1721,0,0.9731026
18,M,1,19,1,2,73,1,2032,0,0.8535095
18,M,1,19,2,2,75,3,2854,2,0.5766554
18,M,1,19,3,3,73,1,1854,0,0.8926258
18,M,1,19,4,4,74,2,1287,1,0.6694766
18,M,1,19,5,3,75,3,3298,0,0.1706712
18,M,1,19,6,3,74,2,1176,0,0.578303
18,M,1,19,7,2,76,4,3187,1,0.5732814
18,M,1,19,8,1,74,2,1309,0,0.08001347
18,M,1,19,9,4,73,1,1198,0,0.6539842
18,M,1,19,10,1,76,4,2765,0,0.204613
18,M,1,19,11,4,75,3,3876,1,0.8811166
18,M,1,19,12,4,76,4,2310,0,0.4759743
18,M,1,19,13,1,75,3,3332,0,0.2166233
18,M,1,19,14,3,76,4,4109,0,0.3994535
18,M,1,19,15,1,73,1,4198,0,0.2949136
18,M,1,19,16,2,74,2,1421,1,0.4563062
18,M,1,20,1,2,77,1,3898,1,0.3549254
18,M,1,20,2,1,80,4,2776,1,0.3335346
18,M,1,20,3,4,77,1,3354,0,0.7636072
18,M,1,20,4,4,79,3,3465,0,0.4059734
18,M,1,20,5,3,77,1,1498,0,0.307801
18,M,1,20,6,4,78,2,1509,1,0.1542043
18,M,1,20,7,1,79,3,3731,0,0.338513
18,M,1,20,8,1,77,1,1465,0,0.3836114
18,M,1,20,9,2,80,4,4865,5,0.2445187
18,M,1,20,10,2,78,2,1965,3,0.1322671
18,M,1,20,11,2,79,3,3109,1,0.7674447
18,M,1,20,12,3,78,2,1054,0,0.3651155
18,M,1,20,13,3,80,4,2454,0,0.05140141
18,M,1,20,14,3,79,3,2409,0,0.2652116
18,M,1,20,15,1,78,2,1198,0,0.3592673
18,M,1,20,16,4,80,4,1131,0,0.9271247
18,M,1,21,1,1,82,2,6443,0,0.6711227
18,M,1,21,2,3,84,4,2376,0,0.2984262
18,M,1,21,3,3,81,1,3965,0,0.3147584
18,M,1,21,4,4,83,3,2298,0,0.3953067
18,M,1,21,5,1,84,4,2432,0,0.8232423
18,M,1,21,6,4,82,2,1310,1,0.2200222
18,M,1,21,7,1,81,1,2987,0,0.3247814
18,M,1,21,8,2,82,2,1398,0,0.618862
18,M,1,21,9,2,83,3,3309,1,0.7691692
18,M,1,21,10,2,84,4,1676,0,0.1563425
18,M,1,21,11,3,83,3,4843,0,0.6858403
18,M,1,21,12,2,81,1,3198,0,0.7823552
18,M,1,21,13,1,83,3,2843,0,0.2669638
18,M,1,21,14,4,84,4,2643,0,0.2785926
18,M,1,21,15,3,82,2,1310,0,0.4099835
18,M,1,21,16,4,81,1,3676,0,0.4288435
18,M,1,22,1,1,86,2,4098,0,0.6965858
18,M,1,22,2,3,88,4,2732,1,0.1361996
18,M,1,22,3,1,87,3,2543,0,0.1291248
18,M,1,22,4,4,85,1,3209,2,0.4067174
18,M,1,22,5,1,88,4,1832,0,0.4845099
18,M,1,22,6,1,85,1,3109,0,0.5737383
18,M,1,22,7,3,87,3,1843,0,0.3312646
18,M,1,22,8,4,86,2,2065,0,0.6059476
18,M,1,22,9,4,88,4,2209,0,0.7073585
18,M,1,22,10,2,85,1,3820,1,0.05507679
18,M,1,22,11,3,86,2,2298,0,0.1006366
18,M,1,22,12,2,87,3,4976,0,0.2221765
18,M,1,22,13,3,85,1,4898,0,0.3536707
18,M,1,22,14,4,87,3,3254,0,0.5003716
18,M,1,22,15,2,86,2,2321,3,0.2226765
18,M,1,22,16,2,88,4,2443,0,0.8365249
18,M,1,23,1,2,89,1,1598,0,0.5926997
18,M,1,23,2,1,92,4,1698,0,0.9186667
18,M,1,23,3,4,90,2,1476,1,0.5129413
18,M,1,23,4,4,92,4,2809,0,0.7566406
18,M,1,23,5,3,89,1,1254,0,0.5894701
18,M,1,23,6,1,90,2,1398,0,0.2683246
18,M,1,23,7,2,92,4,2220,1,0.4136712
18,M,1,23,8,2,90,2,1321,1,0.5634381
18,M,1,23,9,3,92,4,4042,0,0.4323671
18,M,1,23,10,1,91,3,2698,0,0.6236935
18,M,1,23,11,4,89,1,1809,0,0.2224038
18,M,1,23,12,2,91,3,2110,0,0.3512261
18,M,1,23,13,3,90,2,2554,0,0.9931403
18,M,1,23,14,3,91,3,2643,0,0.5701919
18,M,1,23,15,1,89,1,2354,0,0.716028
18,M,1,23,16,4,91,3,2532,0,0.5718625
18,M,1,24,1,2,96,4,2698,0,0.2568168
18,M,1,24,2,3,95,3,2076,0,0.8794225
18,M,1,24,3,1,94,2,1954,0,0.2926751
18,M,1,24,4,4,93,1,2920,0,0.4071559
18,M,1,24,5,1,96,4,2276,1,0.6857835
18,M,1,24,6,3,93,1,1276,0,0.5649872
18,M,1,24,7,3,96,4,2032,0,0.6937442
18,M,1,24,8,1,95,3,1843,0,0.1583906
18,M,1,24,9,2,93,1,2431,0,0.9120889
18,M,1,24,10,2,95,3,1720,0,0.754528
18,M,1,24,11,2,94,2,1387,1,0.490121
18,M,1,24,12,4,96,4,2109,0,0.5460337
18,M,1,24,13,1,93,1,1343,0,0.2698409
18,M,1,24,14,3,94,2,2521,0,0.4646884
18,M,1,24,15,4,95,3,2221,0,0.09699702
18,M,1,24,16,4,94,2,1121,0,0.316167
18,M,1,25,1,4,97,1,3798,0,0.003606284
18,M,1,25,2,1,98,2,2054,0,0.292869
18,M,1,25,3,3,100,4,3409,0,0.5386219
18,M,1,25,4,1,99,3,2687,0,0.7063988
18,M,1,25,5,3,97,1,2243,0,0.6072856
18,M,1,25,6,2,98,2,1454,2,0.6646482
18,M,1,25,7,1,97,1,2698,0,0.4060091
18,M,1,25,8,3,98,2,2498,0,0.1723121
18,M,1,25,9,4,100,4,2243,1,0.5171493
18,M,1,25,10,3,99,3,2509,0,0.4626922
18,M,1,25,11,2,100,4,1354,0,0.7609921
18,M,1,25,12,4,99,3,1475,0,0.352167
18,M,1,25,13,1,100,4,3454,1,0.4672446
18,M,1,25,14,2,99,3,1932,0,0.9605334
18,M,1,25,15,2,97,1,2243,0,0.3646308
18,M,1,25,16,4,98,2,4265,0,0.5890499
18,M,1,26,1,1,103,3,2909,0,0.5239267
18,M,1,26,2,4,101,1,1276,0,0.04810008
18,M,1,26,3,4,103,3,3742,7,0.64858
18,M,1,26,4,2,101,1,1765,0,0.4918354
18,M,1,26,5,4,102,2,954,0,0.1422047
18,M,1,26,6,4,104,4,1520,1,0.4655786
18,M,1,26,7,3,103,3,2620,0,0.5967994
18,M,1,26,8,3,101,1,3354,0,0.3055239
18,M,1,26,9,2,102,2,1609,1,0.6926535
18,M,1,26,10,1,101,1,2032,0,0.2699255
18,M,1,26,11,3,104,4,2687,0,0.3053025
18,M,1,26,12,1,102,2,5721,0,0.4585747
18,M,1,26,13,2,104,4,2454,0,0.5779663
18,M,1,26,14,3,102,2,3065,0,0.384228
18,M,1,26,15,1,104,4,3454,4,0.7823124
18,M,1,26,16,2,103,3,3320,1,0.6030919
18,M,1,27,1,3,106,2,1565,1,0.6430967
18,M,1,27,2,1,107,3,1765,0,0.473827
18,M,1,27,3,3,105,1,3687,0,0.8124427
18,M,1,27,4,4,106,2,1065,0,0.842806
18,M,1,27,5,2,105,1,4442,1,0.7446161
18,M,1,27,6,2,106,2,2398,4,0.6852899
18,M,1,27,7,4,108,4,1443,0,0.5041687
18,M,1,27,8,2,107,3,3487,0,0.8312381
18,M,1,27,9,3,108,4,3721,0,0.5056664
18,M,1,27,10,3,107,3,3064,0,0.540845
18,M,1,27,11,1,105,1,1498,0,0.4383834
18,M,1,27,12,1,108,4,2365,0,0.7433323
18,M,1,27,13,1,106,2,3787,0,0.8900339
18,M,1,27,14,4,107,3,1776,0,0.3807486
18,M,1,27,15,4,105,1,2709,3,0.4907313
18,M,1,27,16,2,108,4,1964,0,0.2488718
18,M,1,28,1,1,111,3,1620,0,0.28659
18,M,1,28,2,1,109,1,1353,0,0.7971045
18,M,1,28,3,2,111,3,2153,0,0.2136544
18,M,1,28,4,4,110,2,1687,2,0.776415
18,M,1,28,5,3,109,1,1387,0,0.3125912
18,M,1,28,6,2,112,4,1976,0,0.8427517
18,M,1,28,7,3,111,3,2154,0,0.6869572
18,M,1,28,8,2,110,2,1321,0,0.4030476
18,M,1,28,9,1,112,4,4898,0,0.9172225
18,M,1,28,10,4,111,3,2876,0,0.7326806
18,M,1,28,11,4,109,1,1321,0,0.5518147
18,M,1,28,12,3,112,4,3365,0,0.2061742
18,M,1,28,13,3,110,2,1287,0,0.6265562
18,M,1,28,14,2,109,1,1509,0,0.2358241
18,M,1,28,15,4,112,4,2510,3,0.3644598
18,M,1,28,16,1,110,2,6031,0,0.09808489
18,M,1,29,1,1,115,3,2254,0,0.9124455
18,M,1,29,2,2,113,1,1810,0,0.2306728
18,M,1,29,3,2,115,3,1509,0,0.256053
18,M,1,29,4,1,116,4,1798,1,0.525027
18,M,1,29,5,3,114,2,1365,1,0.6237902
18,M,1,29,6,3,116,4,1709,0,0.9023749
18,M,1,29,7,1,113,1,2721,0,0.3122654
18,M,1,29,8,1,114,2,1010,0,0.3755811
18,M,1,29,9,3,113,1,4276,0,0.3550342
18,M,1,29,10,3,115,3,2321,0,0.8382419
18,M,1,29,11,4,114,2,1120,1,0.6145016
18,M,1,29,12,4,115,3,2709,0,0.3970948
18,M,1,29,13,4,116,4,1087,0,0.6651329
18,M,1,29,14,2,114,2,1365,1,0.09416852
18,M,1,29,15,2,116,4,1698,1,0.381485
18,M,1,29,16,4,113,1,2732,0,0.6294002
18,M,1,30,1,3,119,3,2543,0,0.3562832
18,M,1,30,2,4,118,2,1031,0,0.7976185
18,M,1,30,3,4,119,3,2587,0,0.982823
18,M,1,30,4,3,118,2,1476,0,0.2230311
18,M,1,30,5,4,120,4,2965,0,0.3714458
18,M,1,30,6,1,119,3,3332,0,0.441053
18,M,1,30,7,1,120,4,3498,0,0.9880601
18,M,1,30,8,3,117,1,1765,0,0.4849391
18,M,1,30,9,1,118,2,1010,0,0.5148697
18,M,1,30,10,4,117,1,2276,0,0.4130597
18,M,1,30,11,2,120,4,2554,1,0.5973881
18,M,1,30,12,1,117,1,1143,0,0.3545592
18,M,1,30,13,2,118,2,1254,0,0.7377115
18,M,1,30,14,2,119,3,1809,0,0.363393
18,M,1,30,15,3,120,4,4387,1,0.3321983
18,M,1,30,16,2,117,1,3054,1,0.7382081
18,M,1,1,1,7,2,2,3097,0,6.338386
18,M,1,1,2,5,4,4,1843,0,5.501839
18,M,1,1,3,8,3,3,4909,0,6.662813
18,M,1,1,4,5,2,2,1398,0,5.177062
18,M,1,1,5,5,1,1,1476,0,2.423023
18,M,1,1,6,6,4,4,3476,0,6.270127
18,M,1,1,7,5,3,3,2898,0,9.477271
18,M,1,1,8,7,1,1,976,0,3.783082
18,M,1,1,9,6,2,2,1065,0,4.641778
18,M,1,1,10,6,3,3,2065,0,4.447172
18,M,1,1,11,6,1,1,2932,0,6.001922
18,M,1,1,12,7,4,4,1987,0,3.072372
18,M,1,1,13,7,3,3,854,0,4.327901
18,M,1,1,14,8,1,1,3765,0,4.482111
