Age, Gender, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target
1,F,1,1,1,2,2,2,1810,1,0.7768469
1,F,1,1,2,1,3,3,1687,0,0.6410215
1,F,1,1,3,4,2,2,1143,0,0.8529443
1,F,1,1,4,2,1,1,1587,1,0.2108248
1,F,1,1,5,3,2,2,1754,0,0.6288677
1,F,1,1,6,4,3,3,2543,0,0.9259694
1,F,1,1,7,1,1,1,2254,0,0.2883359
1,F,1,1,8,2,3,3,7298,10,0.1785006
1,F,1,1,9,2,4,4,2476,0,0.3902859
1,F,1,1,10,3,3,3,2165,0,0.9056215
1,F,1,1,11,4,4,4,2987,2,0.9424115
1,F,1,1,12,4,1,1,1221,0,0.8288597
1,F,1,1,13,3,4,4,2065,0,0.7634774
1,F,1,1,14,1,2,2,2887,0,0.7661734
1,F,1,1,15,1,4,4,2365,0,0.5374374
1,F,1,1,16,3,1,1,1565,0,0.4543458
1,F,1,2,1,1,6,2,2776,1,0.779702
1,F,1,2,2,3,8,4,1621,0,0.4772623
1,F,1,2,3,4,5,1,1076,0,0.7198108
1,F,1,2,4,3,6,2,3232,1,0.8506173
1,F,1,2,5,3,7,3,7487,0,0.4459283
1,F,1,2,6,2,8,4,3432,1,0.75784
1,F,1,2,7,3,5,1,1398,0,0.5170484
1,F,1,2,8,1,8,4,1131,0,0.581641
1,F,1,2,9,2,6,2,1176,0,0.7360741
1,F,1,2,10,1,7,3,2709,0,0.7172013
1,F,1,2,11,4,6,2,1376,1,0.7850278
1,F,1,2,12,4,7,3,44942,34,0.8772829
1,F,1,2,13,1,5,1,2576,0,0.4852096
1,F,1,2,14,2,7,3,5232,4,0.9240029
1,F,1,2,15,2,5,1,1198,0,0.6848005
1,F,1,2,16,4,8,4,1676,0,0.7861674
1,F,1,3,1,4,10,2,1565,2,0.5898296
1,F,1,3,2,1,9,1,1176,0,0.5781473
1,F,1,3,3,2,10,2,1310,0,0.6645184
1,F,1,3,4,2,12,4,1720,0,0.3303548
1,F,1,3,5,1,10,2,2854,1,0.6634489
1,F,1,3,6,2,11,3,2465,0,0.812457
1,F,1,3,7,3,10,2,1887,0,0.8188438
1,F,1,3,8,1,11,3,2498,0,0.8257269
1,F,1,3,9,3,9,1,1921,0,0.692744
1,F,1,3,10,4,11,3,4898,0,0.9026691
1,F,1,3,11,4,12,4,1754,0,0.3780878
1,F,1,3,12,3,11,3,2432,0,0.2901857
1,F,1,3,13,4,9,1,2243,3,0.2344766
1,F,1,3,14,3,12,4,3632,0,0.4058463
1,F,1,3,15,2,9,1,1287,0,0.6816116
1,F,1,3,16,1,12,4,1265,0,0.6909643
1,F,1,4,1,1,13,1,1198,0,0.5276175
1,F,1,4,2,4,15,3,2087,0,0.6408582
1,F,1,4,3,2,13,1,1176,0,0.6391464
1,F,1,4,4,4,14,2,1032,0,0.7607658
1,F,1,4,5,4,13,1,1110,0,0.8928716
1,F,1,4,6,1,15,3,1943,0,0.8482562
1,F,1,4,7,3,14,2,4809,0,0.521726
1,F,1,4,8,1,16,4,3132,0,0.3669898
1,F,1,4,9,2,15,3,2698,0,0.4589924
1,F,1,4,10,2,14,2,1510,1,0.2515042
1,F,1,4,11,4,16,4,2676,1,0.7357
1,F,1,4,12,3,15,3,2298,0,0.4851801
1,F,1,4,13,3,13,1,1410,0,0.1539097
1,F,1,4,14,3,16,4,1532,0,0.7061415
1,F,1,4,15,1,14,2,1554,0,0.1142716
1,F,1,4,16,2,16,4,3221,0,0.8435311
1,F,1,5,1,4,19,3,4020,2,0.7002545
1,F,1,5,2,4,17,1,1221,0,0.5262825
1,F,1,5,3,2,19,3,2643,0,0.4441467
1,F,1,5,4,3,17,1,1165,0,0.2916005
1,F,1,5,5,1,19,3,2454,0,0.5482399
1,F,1,5,6,1,20,4,1243,0,0.1743552
1,F,1,5,7,4,18,2,898,0,0.8909444
1,F,1,5,8,4,20,4,2843,1,0.768855
1,F,1,5,9,3,18,2,1465,0,0.5944818
1,F,1,5,10,3,19,3,2998,0,0.3170235
1,F,1,5,11,1,18,2,1654,0,0.7681078
1,F,1,5,12,2,20,4,1687,0,0.8423966
1,F,1,5,13,2,17,1,1032,0,0.5103611
1,F,1,5,14,3,20,4,3043,0,0.6304927
1,F,1,5,15,2,18,2,998,0,0.7412922
1,F,1,5,16,1,17,1,1209,0,0.1253052
