Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
20,F,1,1,1,1,2,3,3,4653,0,0.5116025,10.1787,2.806027,-1
20,F,1,1,1,2,3,2,2,6153,1,0.3228277,6.483716,2.733159,-1
20,F,1,1,1,3,4,1,1,5198,0,0.4271509,10.07068,2.344684,-1
20,F,1,1,1,4,3,4,4,2620,0,0.44887,6.397062,3.892594,-1
20,F,1,1,1,5,2,1,1,9999,0,-1,-1,-1,-1
20,F,1,1,1,6,2,2,2,1587,0,0.4717064,10.21815,2.553743,-1
20,F,1,1,1,7,3,1,1,1809,0,0.3994171,6.073942,3.613734,-1
20,F,1,1,1,8,2,4,4,6376,2,0.5334737,10.3354,2.847713,-1
20,F,1,1,1,9,1,3,3,2331,0,1.239952E-07,6.05788,0,-1
20,F,1,1,1,10,4,4,4,2276,0,1.15125E-07,10.33588,0.01978234,-1
20,F,1,1,1,11,4,3,3,2442,0,0.2242524,10.13959,1.233846,-1
20,F,1,1,1,12,1,4,4,6453,0,0.1739922,6.351664,1.499852,-1
20,F,1,1,1,13,1,2,2,6398,1,0.1089032,6.478199,0.917919,-1
20,F,1,1,1,14,3,3,3,3265,0,7.838756E-08,6.107985,0,-1
20,F,1,1,1,15,4,2,2,2720,0,0.2203995,10.21896,1.20788,-1
20,F,1,1,1,16,1,1,1,6065,0,0.09537685,6.019028,0.8659236,-1
20,F,1,1,2,1,4,7,3,5431,1,0.3422752,10.20357,1.865191,-1
20,F,1,1,2,2,1,8,4,4087,1,0.3879486,6.342029,3.312985,-1
20,F,1,1,2,3,1,6,2,4876,0,0.2201136,6.474652,1.859622,-1
20,F,1,1,2,4,2,5,1,9999,0,-1,-1,-1,-1
20,F,1,1,2,5,4,6,2,2076,0,0.3802482,10.20283,2.051282,-1
20,F,1,1,2,6,4,5,1,3198,0,0.6134912,10.10543,3.379972,-1
