Age, Gender, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target
19,M,1,1,1,3,1,1,1598,0,0.09237447
19,M,1,1,2,4,2,2,9676,1,0.1072873
19,M,1,1,3,3,3,3,1509,0,0.6092222
19,M,1,1,4,2,4,4,1510,1,0.1909778
19,M,1,1,5,4,3,3,6554,1,0.4353219
19,M,1,1,6,1,1,1,1654,0,0.3232428
19,M,1,1,7,1,2,2,3309,0,0.6341052
19,M,1,1,8,1,3,3,2187,2,0.7507597
19,M,1,1,9,4,4,4,1443,1,0.6477178
19,M,1,1,10,2,1,1,1543,0,0.7011956
19,M,1,1,11,2,3,3,1654,0,0.3727734
19,M,1,1,12,3,2,2,2443,1,0.4919938
19,M,1,1,13,3,4,4,1321,0,0.3476103
19,M,1,1,14,2,2,2,5898,0,0.4561116
19,M,1,1,15,1,4,4,1565,0,0.5487561
19,M,1,1,16,4,1,1,2154,0,0.8291859
19,M,1,2,1,4,8,4,1054,0,0.6024081
19,M,1,2,2,4,5,1,3498,0,0.7928804
19,M,1,2,3,2,6,2,4943,0,0.4356678
19,M,1,2,4,2,5,1,1565,0,0.3719251
19,M,1,2,5,2,8,4,1421,1,0.4576823
19,M,1,2,6,3,7,3,1243,0,0.6270003
19,M,1,2,7,1,6,2,2887,0,0.6127873
19,M,1,2,8,3,8,4,4565,0,0.7389581
19,M,1,2,9,3,5,1,2843,0,0.382916
19,M,1,2,10,3,6,2,1765,1,0.4264786
19,M,1,2,11,1,7,3,1287,0,0.9349859
19,M,1,2,12,4,6,2,4021,0,0.472358
19,M,1,2,13,2,7,3,1776,1,0.4355563
19,M,1,2,14,1,5,1,1643,0,0.2885236
19,M,1,2,15,1,8,4,2432,0,0.8015507
19,M,1,2,16,4,7,3,2332,0,0.5298161
19,M,1,3,1,1,9,1,2809,0,0.22449
19,M,1,3,2,4,10,2,1398,0,0.1979556
19,M,1,3,3,4,11,3,4798,2,0.9496292
19,M,1,3,4,3,9,1,2076,0,0.338014
19,M,1,3,5,3,11,3,2965,0,0.6413729
19,M,1,3,6,2,12,4,1943,0,0.5822652
19,M,1,3,7,2,10,2,2321,0,0.9341276
19,M,1,3,8,4,12,4,4487,1,0.8361051
19,M,1,3,9,1,10,2,1276,0,0.7702464
19,M,1,3,10,2,9,1,2276,0,0.9216781
19,M,1,3,11,1,12,4,1321,0,0.7846909
19,M,1,3,12,4,9,1,3587,0,0.3174069
19,M,1,3,13,2,11,3,2132,2,0.9034805
19,M,1,3,14,3,12,4,2776,0,0.4099256
19,M,1,3,15,1,11,3,2798,1,0.6275235
19,M,1,3,16,3,10,2,2176,1,0.4066081
19,M,1,4,1,4,13,1,1998,0,0.5654533
19,M,1,4,2,1,14,2,987,0,0.4396202
19,M,1,4,3,2,15,3,7054,5,0.623561
19,M,1,4,4,4,16,4,2698,1,0.8138198
19,M,1,4,5,3,13,1,1898,0,0.6106263
19,M,1,4,6,3,16,4,2143,0,0.6776132
19,M,1,4,7,3,15,3,2609,0,0.7998077
19,M,1,4,8,4,14,2,1310,0,0.3665107
19,M,1,4,9,1,15,3,1998,0,0.8249504
19,M,1,4,10,3,14,2,5631,2,0.1293472
19,M,1,4,11,4,15,3,4432,2,0.218226
19,M,1,4,12,2,14,2,6298,2,0.9649625
19,M,1,4,13,2,13,1,3676,2,0.1721592
19,M,1,4,14,2,16,4,2087,1,0.9473695
19,M,1,4,15,1,13,1,1310,0,0.38033
19,M,1,4,16,1,16,4,2554,0,0.2474826
19,M,1,5,1,2,17,1,1754,0,0.8720669
19,M,1,5,2,4,19,3,2443,0,0.7877477
19,M,1,5,3,1,18,2,1287,0,0.47144
19,M,1,5,4,4,17,1,1742,0,0.8954444
19,M,1,5,5,4,18,2,2965,2,0.4021619
19,M,1,5,6,1,19,3,2487,0,0.4356086
19,M,1,5,7,3,20,4,2321,0,0.8039398
19,M,1,5,8,2,18,2,4543,1,0.8045094
19,M,1,5,9,3,19,3,832,0,0.7293183
19,M,1,5,10,1,20,4,2598,0,0.4401087
19,M,1,5,11,1,17,1,1709,1,0.7936175
19,M,1,5,12,2,19,3,1865,1,0.867983
19,M,1,5,13,3,17,1,1343,0,0.6099626
19,M,1,5,14,2,20,4,954,0,0.1958709
19,M,1,5,15,3,18,2,2054,0,0.3291238
19,M,1,5,16,4,20,4,2743,2,0.6151451
19,M,1,6,1,2,21,1,1643,1,0.4523204
19,M,1,6,2,4,22,2,3109,2,0.3176499
19,M,1,6,3,1,23,3,2432,0,0.7504283
19,M,1,6,4,3,21,1,1554,0,0.7558215
19,M,1,6,5,4,23,3,1476,0,0.8967543
19,M,1,6,6,1,22,2,1054,0,0.7955694
19,M,1,6,7,2,24,4,1010,0,0.6215284
19,M,1,6,8,2,22,2,2787,2,0.8371392
19,M,1,6,9,3,23,3,3065,0,0.3626195
19,M,1,6,10,1,21,1,2009,1,0.48085
19,M,1,6,11,4,24,4,3798,0,0.458767
19,M,1,6,12,2,23,3,1965,0,0.7516438
19,M,1,6,13,3,24,4,3133,0,0.27083
19,M,1,6,14,3,22,2,3176,2,0.8159731
19,M,1,6,15,1,24,4,2232,0,0.3179886
19,M,1,6,16,4,21,1,3409,2,0.4755075
19,M,1,7,1,2,28,4,1788,1,0.4901706
19,M,1,7,2,4,26,2,1354,0,0.1666675
19,M,1,7,3,1,27,3,1843,0,0.7960557
19,M,1,7,4,1,26,2,987,0,0.3478415
