sub_exp,subj,age,gender,phase,block,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T
1A,101,21,M,1,1,1,1,3,3,3421,0,0.3323435
1A,101,21,M,1,1,2,1,1,1,5098,0,0.3557533
1A,101,21,M,1,1,3,4,2,2,97340,22,0.7591343
1A,101,21,M,1,1,4,2,4,4,37686,13,0.9485999
1A,101,21,M,1,1,5,4,1,1,48486,2,0.3740366
1A,101,21,M,1,1,6,4,4,4,39042,18,0.8304636
1A,101,21,M,1,1,7,4,3,3,11565,7,0.758651
1A,101,21,M,1,1,8,2,1,1,93251,82,0.4421567
1A,101,21,M,1,1,9,2,3,3,4009,0,0.9291738
1A,101,21,M,1,1,10,1,2,2,2110,0,0.5294385
1A,101,21,M,1,1,11,3,1,1,7854,0,0.5296125
1A,101,21,M,1,1,12,3,2,2,2021,0,0.8734832
1A,101,21,M,1,1,13,1,4,4,15565,2,0.6689005
1A,101,21,M,1,1,14,2,2,2,7876,6,0.6551356
1A,101,21,M,1,1,15,3,3,3,5720,0,0.6913988
1A,101,21,M,1,1,16,3,4,4,4154,1,0.1286424
1A,101,21,M,1,2,1,4,5,1,2276,0,0.273704
1A,101,21,M,1,2,2,1,8,4,3821,0,0.3599182
1A,101,21,M,1,2,3,1,6,2,4421,2,0.5448994
1A,101,21,M,1,2,4,2,8,4,3865,0,0.6049169
1A,101,21,M,1,2,5,2,7,3,3321,0,0.1576539
1A,101,21,M,1,2,6,2,5,1,2320,1,0.7050489
1A,101,21,M,1,2,7,4,7,3,6220,0,0.7615451
1A,101,21,M,1,2,8,1,5,1,7265,0,0.2823454
1A,101,21,M,1,2,9,3,7,3,3787,0,0.5266831
1A,101,21,M,1,2,10,3,6,2,1998,1,0.04131945
1A,101,21,M,1,2,11,4,8,4,3998,0,0.8343135
1A,101,21,M,1,2,12,4,6,2,1376,0,0.6391341
1A,101,21,M,1,2,13,3,5,1,2009,0,0.9033973
1A,101,21,M,1,2,14,2,6,2,7454,0,0.6254265
1A,101,21,M,1,2,15,1,7,3,2632,0,0.3349694
1A,101,21,M,1,2,16,3,8,4,5265,0,0.556238
1A,101,21,M,1,3,1,3,9,1,1376,0,0.1612565
1A,101,21,M,1,3,2,1,11,3,2832,0,0.7132088
1A,101,21,M,1,3,3,1,12,4,3454,0,0.6407288
1A,101,21,M,1,3,4,4,10,2,2076,0,0.9320959
1A,101,21,M,1,3,5,4,11,3,3132,0,0.9148354
1A,101,21,M,1,3,6,3,12,4,2854,0,0.9213815
1A,101,21,M,1,3,7,2,10,2,1165,0,0.6017787
1A,101,21,M,1,3,8,2,9,1,1665,0,0.1419839
1A,101,21,M,1,3,9,3,10,2,3754,1,1.007903
1A,101,21,M,1,3,10,4,9,1,1543,0,0.6882987
1A,101,21,M,1,3,11,3,11,3,4632,0,0.5705434
1A,101,21,M,1,3,12,1,9,1,1610,0,0.4704444
1A,101,21,M,1,3,13,2,12,4,3487,0,0.8573809
1A,101,21,M,1,3,14,1,10,2,1754,0,0.8131083
1A,101,21,M,1,3,15,2,11,3,3387,0,0.5326868
1A,101,21,M,1,3,16,4,12,4,3809,1,0.4763274
1A,101,21,M,1,4,1,4,15,3,3920,0,0.3638915
1A,101,21,M,1,4,2,2,14,2,998,0,0.6939233
1A,101,21,M,1,4,3,4,16,4,5254,0,0.6884148
1A,101,21,M,1,4,4,3,13,1,2376,0,0.5616542
1A,101,21,M,1,4,5,3,16,4,2332,0,0.7439969
1A,101,21,M,1,4,6,4,13,1,5454,0,0.3912618
1A,101,21,M,1,4,7,2,16,4,3265,0,0.7020156
1A,101,21,M,1,4,8,3,14,2,1198,0,0.6559938
1A,101,21,M,1,4,9,1,15,3,3443,0,0.4940296
1A,101,21,M,1,4,10,4,14,2,9843,0,0.7924131
1A,101,21,M,1,4,11,1,16,4,15720,1,0.416373
1A,101,21,M,1,4,12,1,14,2,2665,1,0.6351355
1A,101,21,M,1,4,13,2,13,1,7309,0,0.4056495
1A,101,21,M,1,4,14,2,15,3,4376,0,0.4241716
1A,101,21,M,1,4,15,1,13,1,2110,0,0.9433508
1A,101,21,M,1,4,16,3,15,3,3432,0,0.3323337
1A,101,21,M,1,5,1,3,18,2,5098,1,0.3075933
1A,101,21,M,1,5,2,1,17,1,1498,0,0.7252467
1A,101,21,M,1,5,3,2,20,4,3987,0,0.2801473
1A,101,21,M,1,5,4,2,19,3,15053,11,0.5453652
1A,101,21,M,1,5,5,2,18,2,7198,0,0.5053105
1A,101,21,M,1,5,6,3,19,3,3698,0,0.399961
1A,101,21,M,1,5,7,1,20,4,3698,1,0.4318561
1A,101,21,M,1,5,8,2,17,1,1254,0,0.9809188
1A,101,21,M,1,5,9,1,19,3,3165,0,0.4970681
1A,101,21,M,1,5,10,3,20,4,4176,2,0.7189533
1A,101,21,M,1,5,11,4,19,3,2865,0,0.3945526
1A,101,21,M,1,5,12,4,17,1,2487,2,0.6187413
1A,101,21,M,1,5,13,4,18,2,1620,1,0.1606735
1A,101,21,M,1,5,14,4,20,4,4032,1,0.9853809
1A,101,21,M,1,5,15,3,17,1,1532,0,0.4932554
1A,101,21,M,1,5,16,1,18,2,1287,0,0.639608
1A,101,21,M,1,6,1,2,24,4,6253,3,0.2670177
