Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
18,F,0,1,1,1,2,2,2,4987,0,0.4206983,12.37476,1.904954,-1
18,F,0,1,1,2,1,4,4,4665,2,0.4117104,6.495896,3.434959,-1
18,F,0,1,1,3,1,1,1,1820,0,0.3576598,6.236063,3.151632,-1
18,F,0,1,1,4,1,3,3,1309,0,0.125454,6.158605,1.118201,-1
18,F,0,1,1,5,2,1,1,1697,0,0.3799862,12.18991,1.753346,-1
18,F,0,1,1,6,2,3,3,3287,0,0.4490316,12.23248,2.075657,-1
18,F,0,1,1,7,1,2,2,1320,0,0.4189925,6.516613,3.460796,-1
18,F,0,1,1,8,2,4,4,2620,1,0.2689238,12.40495,1.203985,-1
18,F,0,1,2,1,2,5,1,1342,0,0.8742731,12.18775,4.030995,-1
18,F,0,1,2,2,2,8,4,2398,0,0.6047546,12.51572,2.703564,-1
18,F,0,1,2,3,1,6,2,2042,2,0.4309351,6.627617,3.64728,-1
18,F,0,1,2,4,2,7,3,6764,0,0.6803471,12.35207,3.08553,-1
18,F,0,1,2,5,1,5,1,4076,0,0.1756132,6.302052,1.527903,-1
18,F,0,1,2,6,1,8,4,2209,0,2.00346E-07,6.58652,0,-1
18,F,0,1,2,7,2,6,2,1187,0,0.1471981,12.45251,0.6658786,-1
18,F,0,1,2,8,1,7,3,2109,0,0.07980899,6.260096,0.6988559,-1
18,F,0,1,3,1,2,10,2,1054,0,1.029384,12.44112,4.632442,-1
18,F,0,1,3,2,1,9,1,1409,0,1.015933E-07,6.288887,0,-1
18,F,0,1,3,3,1,10,2,1331,0,0.4265894,6.593861,3.499727,-1
18,F,0,1,3,4,1,12,4,2920,0,1.602378E-07,6.580698,0,-1
18,F,0,1,3,5,2,9,1,1109,0,0.529138,12.28504,2.420022,-1
18,F,0,1,3,6,2,11,3,2653,1,0.6179477,12.33263,2.833587,-1
18,F,0,1,3,7,2,12,4,2898,0,0.4159634,12.50356,1.872835,-1
18,F,0,1,3,8,1,11,3,1420,0,0.1574381,6.264773,1.381827,-1
18,F,0,1,4,1,2,14,2,2731,0,5.09023E-08,12.44588,0.01978234,-1
18,F,0,1,4,2,1,16,4,3742,0,0.2282004,6.586297,1.87043,-1
18,F,0,1,4,3,1,15,3,2420,0,0.420984,6.258368,3.733552,-1
18,F,0,1,4,4,1,13,1,2098,0,0.1133443,6.281962,0.9897227,-1
18,F,0,1,4,5,2,15,3,2609,1,0.3431219,12.3332,1.54345,-1
18,F,0,1,4,6,2,13,1,1553,0,0.06416025,12.27229,0.2940859,-1
18,F,0,1,4,7,2,16,4,2131,0,0.7667139,12.50149,3.467861,-1
18,F,0,1,4,8,1,14,2,2075,1,0.2683206,6.59061,2.26434,-1
18,F,0,1,5,1,2,19,3,3420,0,0.1198515,12.32388,0.5450047,-1
18,F,0,1,5,2,2,18,2,9999,0,-1,-1,-1,-1
18,F,0,1,5,3,1,20,4,2442,0,0.07065389,6.575563,0.5834977,-1
18,F,0,1,5,4,1,17,1,3275,0,0.2958224,6.299633,2.579671,-1
18,F,0,1,5,5,1,18,2,1720,0,0.4307036,6.598083,3.512069,-1
18,F,0,1,5,6,1,19,3,3587,0,0.1000168,6.256262,0.8818219,-1
18,F,0,1,5,7,2,17,1,1220,0,0.1240098,12.2786,0.5695826,-1
18,F,0,1,5,8,2,20,4,2620,0,0.4887681,12.49022,2.189727,-1
18,F,0,1,6,1,2,22,2,1898,0,0.8869343,12.44695,3.988407,-1
18,F,0,1,6,2,2,23,3,1687,0,0.1690637,12.32153,0.7737964,-1
18,F,0,1,6,3,1,22,2,4765,0,0.18052,6.597796,1.47949,-1
18,F,0,1,6,4,1,21,1,1798,0,1.313527E-07,6.38593,0,-1
18,F,0,1,6,5,1,24,4,2409,0,0.2839448,6.661341,2.323974,-1
18,F,0,1,6,6,1,23,3,1865,0,9.890653E-08,6.338251,0,-1
18,F,0,1,6,7,2,21,1,1842,1,0.6526571,12.37973,2.994737,-1
18,F,0,1,6,8,2,24,4,2231,0,0.5300837,12.58581,2.348938,-1
18,F,0,1,7,1,1,26,2,1942,1,0.4223844,6.681545,3.486723,-1
18,F,0,1,7,2,2,27,3,2109,0,0.6015747,12.41748,2.739812,-1
18,F,0,1,7,3,2,28,4,2364,0,0.1118008,12.57568,0.4996771,-1
18,F,0,1,7,4,1,27,3,5776,0,0.1815109,6.330261,1.589916,-1
18,F,0,1,7,5,2,26,2,5698,0,0.233324,12.5264,1.042865,-1
18,F,0,1,7,6,1,25,1,1954,0,0.4174524,6.350488,3.607443,-1
18,F,0,1,7,7,1,28,4,2409,0,0.07942976,6.646753,0.6584912,-1
18,F,0,1,7,8,2,25,1,1553,0,0.01401139,12.35814,0.06255726,-1
18,F,0,1,8,1,1,30,2,1242,0,1.060255E-07,6.670839,0,-1
18,F,0,1,8,2,1,29,1,1831,1,0.2456581,6.357777,2.122463,-1
18,F,0,1,8,3,2,31,3,2198,0,0.7294018,12.40509,3.326843,-1
18,F,0,1,8,4,1,32,4,2287,0,1.70449E-07,6.64946,0.01978234,-1
18,F,0,1,8,5,2,30,2,3098,0,0.07469267,12.53052,0.3351346,-1
18,F,0,1,8,6,2,29,1,1398,0,0.8004991,12.35362,3.63825,-1
18,F,0,1,8,7,1,31,3,2009,0,0.3651761,6.338887,3.131191,-1
