exp,subj,age,gender,condition,phase,block,awareness_type,session,trial,set,pattern,quadrant,RT,num_additional_Rs,dist_to_T,camera_distance_from_target,angle_error_degrees,fc_response
2,1,19,F,proximal_repeated,1,1,0,1,1,1,1,1,2864,0,0.381126,6.291494,3.318535,-1
2,1,19,F,proximal_repeated,1,1,0,1,2,1,3,3,9999,4,-1,-1,-1,-1
2,1,19,F,proximal_repeated,1,1,0,1,3,2,2,2,1764,0,0.1462087,12.4586,0.6602717,-1
2,1,19,F,proximal_repeated,1,1,0,1,4,1,4,4,4097,0,0.02716521,6.542117,0.2264194,-1
2,1,19,F,proximal_repeated,1,1,0,1,5,2,1,1,2365,0,0.5931737,12.25616,2.748728,-1
2,1,19,F,proximal_repeated,1,1,0,1,6,1,2,2,3841,0,0.1726396,6.635686,1.418169,-1
2,1,19,F,proximal_repeated,1,1,0,1,7,2,4,4,1887,0,0.4543858,12.38682,2.027965,-1
2,1,19,F,proximal_repeated,1,1,0,1,8,2,3,3,2553,0,0.4974055,12.33556,2.252814,-1
2,1,19,F,proximal_repeated,1,2,0,1,1,2,8,4,2209,0,0.4543384,12.39003,2.027096,-1
2,1,19,F,proximal_repeated,1,2,0,1,2,2,6,2,2409,0,0.9988717,12.46271,4.558746,-1
2,1,19,F,proximal_repeated,1,2,0,1,3,1,8,4,7809,1,0.1967828,6.557287,1.625219,-1
2,1,19,F,proximal_repeated,1,2,0,1,4,2,5,1,3442,1,0.2218085,12.2537,1.020291,-1
2,1,19,F,proximal_repeated,1,2,0,1,5,1,6,2,3076,0,0.4620487,6.638709,3.820647,-1
2,1,19,F,proximal_repeated,1,2,0,1,6,2,7,3,3219,0,0.4723947,12.34014,2.138631,-1
2,1,19,F,proximal_repeated,1,2,0,1,7,1,5,1,3220,1,0.3067827,6.26924,2.669318,-1
2,1,19,F,proximal_repeated,1,2,0,1,8,1,7,3,3565,0,0.2020342,6.256024,1.775309,-1
2,1,19,F,proximal_repeated,1,3,0,1,1,1,9,1,1598,0,0.486884,6.27915,4.208078,-1
2,1,19,F,proximal_repeated,1,3,0,1,2,2,12,4,2187,0,0.5372913,12.39024,2.455032,-1
2,1,19,F,proximal_repeated,1,3,0,1,3,2,9,1,2331,0,0.1215842,12.26806,0.55778,-1
2,1,19,F,proximal_repeated,1,3,0,1,4,2,10,2,1331,0,0.8404318,12.46109,3.765772,-1
2,1,19,F,proximal_repeated,1,3,0,1,5,1,11,3,3664,0,0.4158319,6.257761,3.692895,-1
2,1,19,F,proximal_repeated,1,3,0,1,6,1,12,4,5020,0,0.3634034,6.546632,3.06286,-1
2,1,19,F,proximal_repeated,1,3,0,1,7,2,11,3,5342,2,0.8259583,12.09573,3.858641,-1
2,1,19,F,proximal_repeated,1,3,0,1,8,1,10,2,3042,0,0.4976257,6.621459,4.136496,-1
2,1,19,F,proximal_repeated,1,4,0,1,1,1,16,4,2731,1,0.2028492,6.546157,1.703528,-1
2,1,19,F,proximal_repeated,1,4,0,1,2,2,13,1,5509,1,0.3206414,12.06725,1.499069,-1
2,1,19,F,proximal_repeated,1,4,0,1,3,1,15,3,2765,0,0.3841751,6.269119,3.348839,-1
2,1,19,F,proximal_repeated,1,4,0,1,4,2,14,2,1886,0,0.4529762,12.45823,2.052331,-1
2,1,19,F,proximal_repeated,1,4,0,1,5,1,13,1,2031,1,0.4374977,6.272514,3.816493,-1
2,1,19,F,proximal_repeated,1,4,0,1,6,2,16,4,1764,0,0.4612048,12.39377,2.062035,-1
2,1,19,F,proximal_repeated,1,4,0,1,7,1,14,2,2564,1,0.3745658,6.629202,3.083372,-1
2,1,19,F,proximal_repeated,1,4,0,1,8,2,15,3,2664,0,6.505395e-8,12.34701,0,-1
2,1,19,F,proximal_repeated,1,5,0,1,1,1,18,2,3153,0,0.1206579,6.634146,0.9972074,-1
2,1,19,F,proximal_repeated,1,5,0,1,2,1,17,1,4942,3,0.1135018,6.27326,1.001711,-1
2,1,19,F,proximal_repeated,1,5,0,1,3,2,18,2,2275,1,0.2987909,12.43352,1.352195,-1
2,1,19,F,proximal_repeated,1,5,0,1,4,2,19,3,1897,0,0.7259578,12.34806,3.321424,-1
2,1,19,F,proximal_repeated,1,5,0,1,5,2,17,1,2254,1,0.826912,12.25598,3.836655,-1
2,1,19,F,proximal_repeated,1,5,0,1,6,1,20,4,2853,0,0.3705503,6.562132,3.116401,-1
2,1,19,F,proximal_repeated,1,5,0,1,7,1,19,3,2453,0,1.167139e-8,6.267218,0,-1
2,1,19,F,proximal_repeated,1,5,0,1,8,2,20,4,4886,1,0.2413639,12.39693,1.097714,-1
2,1,19,F,proximal_repeated,1,6,0,1,1,1,23,3,3309,0,0.09771603,6.269,0.85638,-1
2,1,19,F,proximal_repeated,1,6,0,1,2,2,21,1,4864,1,0.706796,12.21154,3.287238,-1
2,1,19,F,proximal_repeated,1,6,0,1,3,1,22,2,4786,0,1.23473e-7,6.645615,0,-1
2,1,19,F,proximal_repeated,1,6,0,1,4,1,21,1,1775,0,0.4139636,6.273032,3.57982,-1
2,1,19,F,proximal_repeated,1,6,0,1,5,1,24,4,2309,0,0.1059013,6.569858,0.8888945,-1
2,1,19,F,proximal_repeated,1,6,0,1,6,2,23,3,5208,0,0.3433482,12.35849,1.568977,-1
2,1,19,F,proximal_repeated,1,6,0,1,7,2,24,4,2275,1,0.1708322,12.41085,0.7661725,-1
2,1,19,F,proximal_repeated,1,6,0,1,8,2,22,2,4031,0,0.4539653,12.47024,2.054999,-1
2,1,19,F,proximal_repeated,1,7,0,1,1,2,25,1,1897,0,0.830622,12.2686,3.857676,-1
2,1,19,F,proximal_repeated,1,7,0,1,2,1,28,4,2409,0,0.4070076,6.576568,3.415926,-1
2,1,19,F,proximal_repeated,1,7,0,1,3,2,27,3,3009,1,0.3428273,12.36539,1.565981,-1
2,1,19,F,proximal_repeated,1,7,0,1,4,1,26,2,2609,1,0.2060372,6.651099,1.726918,-1
2,1,19,F,proximal_repeated,1,7,0,1,5,1,25,1,3531,3,0.2663938,6.26241,2.329022,-1
2,1,19,F,proximal_repeated,1,7,0,1,6,2,26,2,7931,0,0.534913,12.45382,2.393265,-1
2,1,19,F,proximal_repeated,1,7,0,1,7,2,28,4,2298,1,0.7728026,12.39996,3.523645,-1
2,1,19,F,proximal_repeated,1,7,0,1,8,1,27,3,3898,0,0.1380272,6.291222,1.207394,-1
2,1,19,F,proximal_repeated,1,8,0,1,1,1,32,4,3953,2,0.09639208,6.577221,0.8047857,-1
2,1,19,F,proximal_repeated,1,8,0,1,2,2,29,1,4353,6,0.9089813,12.04408,4.300928,-1
2,1,19,F,proximal_repeated,1,8,0,1,3,2,31,3,4364,1,0.8459965,12.35993,3.872723,-1
2,1,19,F,proximal_repeated,1,8,0,1,4,1,30,2,2720,0,0.3298547,6.649447,2.722323,-1
2,1,19,F,proximal_repeated,1,8,0,1,5,1,29,1,3697,3,0.5192444,6.293429,4.502978,-1
2,1,19,F,proximal_repeated,1,8,0,1,6,2,30,2,2997,0,0.5335174,12.47699,2.397106,-1
2,1,19,F,proximal_repeated,1,8,0,1,7,2,32,4,2542,0,0.4900535,12.41075,2.217173,-1
2,1,19,F,proximal_repeated,1,8,0,1,8,1,31,3,3319,0,0.1643154,6.273092,1.456965,-1
2,1,19,F,proximal_repeated,1,9,0,1,1,2,34,2,1820,0,0.4121887,12.48409,1.844511,-1
2,1,19,F,proximal_repeated,1,9,0,1,2,1,33,1,4042,4,0.4846451,6.288986,4.222898,-1
2,1,19,F,proximal_repeated,1,9,0,1,3,2,36,4,2164,0,0.1575814,12.41605,0.711894,-1
2,1,19,F,proximal_repeated,1,9,0,1,4,2,33,1,2187,1,1.044345,12.27403,4.863209,-1
2,1,19,F,proximal_repeated,1,9,0,1,5,1,36,4,3409,0,0.01128295,6.591438,0.09278741,-1
2,1,19,F,proximal_repeated,1,9,0,1,6,1,35,3,3342,0,0.149557,6.280386,1.323526,-1
2,1,19,F,proximal_repeated,1,9,0,1,7,1,34,2,2920,1,0.2887442,6.658101,2.378746,-1
2,1,19,F,proximal_repeated,1,9,0,1,8,2,35,3,4364,1,0.3632486,12.36137,1.65989,-1
2,1,19,F,proximal_repeated,1,10,0,1,1,1,40,4,2653,0,0.1622702,6.581366,1.35205,-1
2,1,19,F,proximal_repeated,1,10,0,1,2,1,38,2,3109,0,0.1398092,6.662431,1.143294,-1
2,1,19,F,proximal_repeated,1,10,0,1,3,1,37,1,4876,5,0.4582861,6.139769,4.20426,-1
2,1,19,F,proximal_repeated,1,10,0,1,4,2,38,2,2531,1,0.5384105,12.42754,2.445766,-1
2,1,19,F,proximal_repeated,1,10,0,1,5,2,39,3,3586,0,0.4647731,12.37188,2.121726,-1
