p_num,age,gender,respN_mean,RT_mean,perc_Analysed,perc_Timeout,respN_trials_Above_1,rep_NT_1,rep_NT_2,rep_NT_3,rep_NT_4,rep_NT_5,rep_FT_1,rep_FT_2,rep_FT_3,rep_FT_4,rep_FT_5,rand_NT_1,rand_NT_2,rand_NT_3,rand_NT_4,rand_NT_5,rand_FT_1,rand_FT_2,rand_FT_3,rand_FT_4,rand_FT_5,rep_NT_NS_6,rep_NT_NS_7,rep_NT_NS_8,rep_NT_NS_9,rep_NT_S_6,rep_NT_S_7,rep_NT_S_8,rep_NT_S_9,rep_FT_NS_6,rep_FT_NS_7,rep_FT_NS_8,rep_FT_NS_9,rep_FT_S_6,rep_FT_S_7,rep_FT_S_8,rep_FT_S_9,rand_NT_NS_6,rand_NT_NS_7,rand_NT_NS_8,rand_NT_NS_9,rand_FT_NS_6,rand_FT_NS_7,rand_FT_NS_8,rand_FT_NS_9,rep_NT,rep_FT,new_NT,new_FT
1,25,F,0.09363295880149813,2822.1498127340824,92.70833333333334,6.597222222222221,0.6944444444444444,2425.125,2737.375,2876.25,2675,2216.5,3071.8,3830,2902.1666666666665,3243,2367.1666666666665,2548.375,2869.375,2330.625,3310.875,2962.5,3576.25,3515.125,2136,3004,3444.25,2106.75,3173.75,3717.75,3429,2271,2351.75,2087,2281.75,2287.5,2093,3298.5,3354,2368,3298.25,2340.25,2423.5,2340.125,3972,1933.25,3062.625,2804,2135.875,3795.285714285714,2438.4285714285716,0.5,0.25,0.375,0.375
2,22,F,0.20689655172413793,2568.762931034483,80.55555555555556,4.513888888888884,18.055555555555554,2978.1666666666665,2535.1428571428573,2473.5,2957,2790.25,3009.75,2402,2785.5,2824.6666666666665,3069.8,2185.8571428571427,3126.375,2150,2936.125,2257,4853.666666666667,3289.1666666666665,1776.4,2923.8571428571427,3523.5,2394.6666666666665,2276.25,2823.5,1779,2528,2391.3333333333335,3082,2348.75,2346.6666666666665,2376.25,2535,1907,1676.5,2737.25,1921,1683.6666666666667,2175,2692.4285714285716,2665,2044.375,2383.6666666666665,2079,2115.8571428571427,2412.25,0.375,0.25,0.5,0.375
3,21,F,0.33157894736842103,2560.426315789474,65.97222222222221,10.069444444444443,33.33333333333333,2949.4,7081.5,2516.2,3654.2,1878.6,3912.5714285714284,2306.1666666666665,1534.75,1943.25,1247,3537.1666666666665,3729.6,2717.75,2656.4,2543,3026,2445.5,1967,1645.5,3609.5,2576.3333333333335,1783.6666666666667,2782,1968,2543,3046.6666666666665,4954,2690,1946.6666666666667,1843,2298.5,NA,2528,1659.75,1557.6666666666667,1243.3333333333333,2231.714285714286,2285.4,2109.714285714286,2133.5714285714284,1340.8,1956.2,798.6666666666666,3256.2,0.375,0.625,0.5,0.375
4,21,F,0.3238095238095238,2620.7809523809524,36.45833333333333,2.430555555555558,63.541666666666664,3454,2954,3364.6666666666665,3122.8,4043,2943,NA,3172.6666666666665,2262.25,1026.5,3572.6666666666665,3209.3333333333335,3031.5,3056.75,NA,3909,2471,2439,1354.25,NA,3576,2998.5,1821,2676,NA,4899,3931.5,2365,NA,2239,1934.75,1754,4298,2015,2643,1332,3198.6666666666665,1520.6666666666667,2109.6666666666665,1854,965,1954.2,3056.4,1304,0.75,0.375,0.5,0.125
5,20,M,0.032490974729241874,2402.4801444043323,96.18055555555556,0.694444444444442,3.125,2987.25,3408.125,3276.1428571428573,2751.25,2326.125,2283.25,2031.857142857143,2259.75,2608.25,1613.875,2630.25,2794.8333333333335,2684.625,2069.5,2474.75,3232,2427.4285714285716,3504.5714285714284,2354.125,2126.25,2954.25,2429,3109.5,2548.75,1851.5,2773.25,2268,2509.75,1884.5,2359.25,1373.5,1657,1748.5,1551.5,2757.6666666666665,1906.75,2594.25,3203.285714285714,1784.75,1823.5,1585.6666666666667,2487.5,1758.25,1723.857142857143,0.875,0.75,0.5,0.625
6,20,F,0.273542600896861,2336.4349775784754,77.43055555555556,2.083333333333337,22.22222222222222,2143,3670,3195.75,3169.8571428571427,2346.1428571428573,2870.25,3446.3333333333335,1857.6666666666667,2266.8571428571427,1322.125,3137.5,3661.125,2457.5714285714284,2469.5,2192.4285714285716,3269,2503,2466.6666666666665,2460.8,1700.142857142857,1881.75,2313.3333333333335,2176.5,2120.3333333333335,1518,1796,2643,1780,1554,1932,1450.6666666666667,1192.75,1542.5,1428,1083.6666666666667,1015,1984.142857142857,3244.6666666666665,1989,2144.8571428571427,2843,2573,1638.142857142857,1431.8333333333333,0.25,0.375,0.125,0.375
7,20,F,0.5240963855421686,4495.993975903614,57.638888888888886,16.666666666666664,35.41666666666667,4272.333333333333,7375.666666666667,4301,5646.333333333333,2948.25,7679.142857142857,5609.5,7282,5459.5,5873,2570.5,4850.333333333333,4161.666666666667,4534,2720.6666666666665,4254,9565,6479.666666666667,6542.5,3542.75,4331.5,4245.75,3423.5,3109.3333333333335,4656.5,3856.75,4209.5,5076,3431.5,4361.333333333333,3953.5,3915,4598,5092.75,5009,3709.5,3138.4,3644.4285714285716,2640,2604.25,3529.8333333333335,3723,4812.571428571428,5256.857142857143,0.625,0.75,0.25,0.125
8,20,F,0.16216216216216217,2739.9498069498068,89.93055555555556,2.083333333333337,10.069444444444445,4163.571428571428,2935.875,2646.1428571428573,2873.625,2808.25,3882.5714285714284,3660.6,2728,2408.125,2654.25,4007.5,3072.25,2585.8571428571427,2974.75,2871.4285714285716,2973.5,3547.125,3254,2851.1428571428573,2413.75,2461.3333333333335,2076.5,2398.75,2115,3150,2579.25,2534.5,2304.25,3145.75,1668,2579,2754,1987.25,2043,2043,2009.6666666666667,1939,2297.125,2589.1428571428573,2852.5,2350.714285714286,2487.5,2189.5,2681.75,0.125,0.625,0.625,0.125
9,23,F,0.2540322580645161,2461.6774193548385,86.11111111111111,1.736111111111116,12.847222222222221,3763.625,3498.5,3247.4,3385.714285714286,2283.6666666666665,1920.875,1907,2276.1666666666665,2164,2019.142857142857,3555.125,2589.3333333333335,2876.1666666666665,3499.8571428571427,2677.625,2045.6,2335.875,2200.3333333333335,1865.2857142857142,1913.875,4232,3194.6666666666665,2004.25,2558,3587.25,2776.5,2495.75,2876.25,1765.25,1784.5,1857,1554.25,1707,1535.6666666666667,1591,1470.5,3138.4,2671.5714285714284,2322.4285714285716,2369.8,1762.25,2599.8571428571427,2001.125,1383,0.375,1,0.875,0.25
10,21,F,0.2509505703422053,2345.596958174905,91.31944444444444,0.694444444444442,8.680555555555555,2489.3333333333335,2701.625,2562.625,2197.125,2687.3333333333335,3012.8571428571427,2433.714285714286,2763.75,2198.714285714286,3274.875,2541.375,2847.714285714286,2448.75,2840.25,2438.285714285714,2563.5,2451.5,2195.75,1992.2857142857142,2011.6,1781.25,2126,2112.25,2170.75,2442.3333333333335,2662.25,2626,1654.3333333333333,2913.3333333333335,1573.25,2815.25,1509.75,1538,1481.5,1607,1472.3333333333333,2315.25,2315.25,2655.5,2356.75,1932,1740.375,2217.875,2006.625,0.375,0.5,0.5,0.5
11,19,F,0.2556390977443609,2613.4436090225563,92.36111111111111,0.694444444444442,7.291666666666667,3616,3048.5,2851.375,2687.5,2411.4285714285716,3106.625,2301.375,1891.3333333333333,3335,1819.142857142857,2239,3430.285714285714,2637.25,3183.25,2576.125,2867.1666666666665,2418,2236.714285714286,2987.125,1663.857142857143,3362.25,3987.25,2901,3561.6666666666665,3113.3333333333335,3384.75,1917,2912.25,2326,1880,1318,2337.5,2654.25,1687.3333333333333,1507,1976.5,3398.4285714285716,2611,2331.714285714286,2500.1428571428573,2518.8,2670.75,2002.75,2140.25,0.375,0.375,0.625,0.25
12,20,F,0.11702127659574468,2502.709219858156,97.91666666666666,0,2.083333333333333,3558.8571428571427,3101.375,3608.125,2833.125,2547.25,2741.375,2613.75,2587.375,2244.375,1897,3246,2902.5,3395.625,2756.75,2915.25,2802.625,2730.625,2394.25,2669.375,1799.75,3990.25,2665.25,3487.5,2637.5,2328,1962.5,2798.5,2770.75,1892.75,1698.5,1607,1601.25,3023,2420.75,1576.5,1506.75,2722.125,1934.7142857142858,2222.4285714285716,2070,1943.125,1616.5,1693.125,1609.75,0.25,0.5,0.875,0.75
