Age, Gender, Awareness Type, Session, Block, Trial, Set, Pattern, Quadrant, Response Time, Num Mistakes, Distance From Target, Camera Distance From Target, Angle Error (Degrees), FC Response
22,F,1,1,1,1,5,2,2,2754,0,0.2571731,6.574586,2.117755,-1
22,F,1,1,1,2,2,3,3,3054,0,0.9521169,12.51132,4.339914,-1
22,F,1,1,1,3,6,2,2,3332,0,0.06219904,12.55871,0.2790645,-1
22,F,1,1,1,4,5,1,1,3443,0,0.2189024,6.574905,1.815638,-1
22,F,1,1,1,5,2,4,4,4976,0,8.011286E-08,12.4888,0,-1
22,F,1,1,1,6,6,3,3,1999,0,0.8601524,12.49314,3.912165,-1
22,F,1,1,1,7,6,4,4,4465,0,0.6308804,12.51992,2.812438,-1
22,F,1,1,1,8,2,1,1,2510,0,0.7807956,12.50683,3.54663,-1
22,F,1,1,1,9,1,3,3,5754,0,0.1435023,6.505611,1.217079,-1
22,F,1,1,1,10,6,1,1,2232,0,0.01171994,12.48485,0.05595291,-1
22,F,1,1,1,11,2,2,2,2810,0,0.2412944,12.51117,1.07429,-1
22,F,1,1,1,12,5,3,3,3209,0,0.04401968,6.534691,0.3711503,-1
22,F,1,1,1,13,1,1,1,3321,0,8.609864E-08,6.57719,0,-1
22,F,1,1,1,14,1,4,4,5343,0,0.005227849,6.527519,0.04423466,-1
22,F,1,1,1,15,1,2,2,9999,3,-1,-1,-1,-1
22,F,1,1,1,16,5,4,4,5643,0,0.478963,6.491287,4.02696,-1
22,F,1,1,2,1,1,7,3,1910,0,0.240283,6.521511,2.037881,-1
22,F,1,1,2,2,1,5,1,3254,0,0.08078986,6.578465,0.6766641,-1
22,F,1,1,2,3,5,6,2,2499,0,1.322144E-07,6.567873,0,-1
22,F,1,1,2,4,2,8,4,3521,0,0.8701168,12.5017,3.882066,-1
22,F,1,1,2,5,2,7,3,5876,1,0.5165704,12.46072,2.314607,-1
22,F,1,1,2,6,6,6,2,6810,3,0.8594,12.51497,3.831139,-1
22,F,1,1,2,7,1,8,4,4854,0,0.4279014,6.493179,3.640294,-1
22,F,1,1,2,8,2,6,2,1454,0,0.3477096,12.50288,1.574704,-1
22,F,1,1,2,9,5,5,1,1921,0,0.1031611,6.578353,0.8650193,-1
22,F,1,1,2,10,5,7,3,1588,0,0.2499108,6.52598,2.122924,-1
22,F,1,1,2,11,6,5,1,1599,0,0.5395899,12.48304,2.454235,-1
22,F,1,1,2,12,1,6,2,2766,0,0.3120728,6.576859,2.642566,-1
22,F,1,1,2,13,5,8,4,2277,0,0.545799,6.508268,4.601897,-1
22,F,1,1,2,14,2,5,1,8598,3,0.701107,12.51011,3.180077,-1
22,F,1,1,2,15,6,8,4,9999,0,-1,-1,-1,-1
22,F,1,1,2,16,6,7,3,7099,0,0.7346018,12.44678,3.324488,-1
22,F,1,1,3,1,1,10,2,1587,0,4.357602E-08,6.564757,0,-1
22,F,1,1,3,2,6,12,4,1888,0,0.363728,12.49404,1.633626,-1
22,F,1,1,3,3,1,11,3,3432,0,7.415736E-08,6.520037,0.01978234,-1
22,F,1,1,3,4,1,9,1,2121,0,3.93842E-08,6.59799,0,-1
22,F,1,1,3,5,6,10,2,9999,7,-1,-1,-1,-1
22,F,1,1,3,6,5,11,3,4288,0,0.1907819,6.505085,1.604862,-1
22,F,1,1,3,7,2,9,1,2677,0,0.3081954,12.54381,1.384656,-1
22,F,1,1,3,8,5,12,4,9999,0,-1,-1,-1,-1
22,F,1,1,3,9,2,11,3,1854,1,0.993427,12.48987,4.536392,-1
22,F,1,1,3,10,2,12,4,1543,0,1.063292,12.48814,4.857768,-1
22,F,1,1,3,11,2,10,2,1099,0,0.5420716,12.51293,2.445686,-1
22,F,1,1,3,12,1,12,4,8210,1,0.09090505,6.500875,0.7722777,-1
22,F,1,1,3,13,5,9,1,2588,0,2.100702E-07,6.6174,0,-1
22,F,1,1,3,14,5,10,2,3954,1,0.2848536,6.594251,2.390728,-1
22,F,1,1,3,15,6,11,3,3543,0,0.8778917,12.51633,3.93104,-1
22,F,1,1,3,16,6,9,1,9999,2,-1,-1,-1,-1
22,F,1,1,4,1,6,16,4,2477,0,0.2337955,12.53341,1.04605,-1
22,F,1,1,4,2,1,15,3,2232,0,0.3515398,6.512619,2.925764,-1
22,F,1,1,4,3,6,14,2,1265,0,0.2315201,12.54216,1.042865,-1
22,F,1,1,4,4,2,15,3,1665,0,0.5535969,12.51577,2.477808,-1
22,F,1,1,4,5,6,13,1,1699,0,0.4404224,12.47592,1.993018,-1
22,F,1,1,4,6,2,16,4,1976,0,0.452563,12.49214,2.043443,-1
22,F,1,1,4,7,1,14,2,1810,0,0.04145958,6.567755,0.3449174,-1
22,F,1,1,4,8,1,16,4,5477,0,0.437041,6.554682,3.677434,-1
22,F,1,1,4,9,2,14,2,1732,0,0.6323912,12.51419,2.797014,-1
22,F,1,1,4,10,5,16,4,4521,2,1.236269E-07,6.517368,0,-1
