,Basic stats,,,,,Stage 1,,,,,,,,,,,,,,,,,,,,Stage 2 ,,,,,,Awareness,,,
p_num,Avg additional responses,% of trials with more than 2 responses,% of timeouts,% trials analysed,Mean RT,Rep NT 1,Rep NT 2,Rep NT 3,Rep NT 4,Rep NT 5,Rep FT 1,Rep FT 2,Rep FT 3,Rep FT 4,Rep FT 5,Rand NT 1,Rand NT 2,Rand NT 3,Rand NT 4,Rand NT 5,Rand FT 1,Rand FT 2,Rand FT 3,Rand FT 4,Rand FT 5,Rep NT - NS,Rep NT - S,Rep FT - NS,Rep FT - S,Rand NT,Rand FT,Hits Rep NT,Hits Rep FT,FA Rand NT,FA Rand FT
1,0.104166667,0.694444444,6.597222222,92.70833333,2822.149813,2425.1,2737.4,2876.3,2675.0,2216.5,3071.8,3830.0,2902.2,3243.0,2367.2,2548.4,2869.4,2330.6,3310.9,2962.5,3576.3,3515.1,2136.0,3004.0,3444.3,3106.8,2247.9,2758.3,2607.5,2827.0,2771.8,0.5,0.25,0.375,0.375
2,1.017361111,18.05555556,4.513888889,80.55555556,2568.762931,2978.2,2535.1,2473.5,2957.0,2790.3,3009.8,2402.0,2785.5,2824.7,3069.8,2185.9,3126.4,2150.0,2936.1,2257.0,4853.7,3289.2,1776.4,2923.9,3523.5,2313.3,2605.8,2287.5,2108.6,2375.2,2253.5,0.375,0.25,0.5,0.375
3,2.083333333,33.33333333,10.06944444,65.97222222,2560.426316,2949.4,7081.5,2516.2,3654.2,1878.6,3912.6,2306.2,1534.8,1943.3,1247.0,3537.2,3729.6,2717.8,2656.4,2543.0,3026.0,2445.5,1967.0,1645.5,3609.5,2291.4,3320.7,2017.6,1740.5,2182.8,1953.4,0.375,0.625,0.5,0.375
4,4.256944444,63.54166667,2.430555556,36.45833333,2620.780952,3454.0,2954.0,3364.7,3122.8,4043.0,2943.0,NaN,3172.7,2262.3,1026.5,3572.7,3209.3,3031.5,3056.8,NaN,3909.0,2471.0,2439.0,1354.3,NaN,2814.0,3781.8,1971.8,2766.8,2199.5,2082.3,0.75,0.375,0.5,0.125
5,0.125,3.125,0.694444444,96.18055556,2402.480144,2987.3,3408.1,3276.1,2751.3,2326.1,2283.3,2031.9,2259.8,2608.3,1613.9,2630.3,2794.8,2684.6,2069.5,2474.8,3232.0,2427.4,3504.6,2354.1,2126.3,2760.4,2350.6,1818.6,1940.0,2324.0,1915.4,0.875,0.75,0.5,0.625
6,1.201388889,22.22222222,2.083333333,77.43055556,2336.434978,2143.0,3670.0,3195.8,3169.9,2346.1,2870.3,3446.3,1857.7,2266.9,1322.1,3137.5,3661.1,2457.6,2469.5,2192.4,3269.0,2503.0,2466.7,2460.8,1700.1,2109.6,1944.5,1428.8,1265.0,2307.2,2060.0,0.25,0.375,0.125,0.375
7,1.611111111,35.41666667,16.66666667,57.63888889,4495.993976,4272.3,7375.7,4301.0,5646.3,2948.3,7679.1,5609.5,7282.0,5459.5,5873.0,2570.5,4850.3,4161.7,4534.0,2720.7,4254.0,9565.0,6479.7,6542.5,3542.8,3743.7,4322.5,3964.9,4674.6,3109.0,4411.2,0.625,0.75,0.25,0.125
8,0.46875,10.06944444,2.083333333,89.93055556,2739.949807,4163.6,2935.9,2646.1,2873.6,2808.3,3882.6,3660.6,2728.0,2408.1,2654.3,4007.5,3072.3,2585.9,2974.8,2871.4,2973.5,3547.1,3254.0,2851.1,2413.8,2249.7,2608.1,2536.7,2019.9,2414.0,2446.4,0.125,0.625,0.625,0.125
9,0.569444444,12.84722222,1.736111111,86.11111111,2461.677419,3763.6,3498.5,3247.4,3385.7,2283.7,1920.9,1907.0,2276.2,2164.0,2019.1,3555.1,2589.3,2876.2,3499.9,2677.6,2045.6,2335.9,2200.3,1865.3,1913.9,2811.6,2933.9,1740.3,1595.8,2604.1,1972.2,0.375,1,0.875,0.25
10,0.482638889,8.680555556,0.694444444,91.31944444,2345.596958,2489.3,2701.6,2562.6,2197.1,2687.3,3012.9,2433.7,2763.8,2198.7,3274.9,2541.4,2847.7,2448.8,2840.3,2438.3,2563.5,2451.5,2195.8,1992.3,2011.6,2047.6,2388.8,2155.5,1528.2,2410.7,1977.0,0.375,0.5,0.5,0.5
11,0.427083333,7.291666667,0.694444444,92.36111111,2613.443609,3616.0,3048.5,2851.4,2687.5,2411.4,3106.6,2301.4,1891.3,3335.0,1819.1,2239.0,3430.3,2637.3,3183.3,2576.1,2867.2,2418.0,2236.7,2987.1,1663.9,3445.8,2877.1,1971.1,1974.2,2706.9,2313.9,0.375,0.375,0.625,0.25
12,0.166666667,2.083333333,0,97.91666667,2502.70922,3558.9,3101.4,3608.1,2833.1,2547.3,2741.4,2613.8,2587.4,2244.4,1897.0,3246.0,2902.5,3395.6,2756.8,2915.3,2802.6,2730.6,2394.3,2669.4,1799.8,3195.1,2474.1,1699.9,2131.8,2254.0,1715.6,0.25,0.5,0.875,0.75
13,0.402777778,9.722222222,0.694444444,89.58333333,2849.166667,2627.8,3961.9,3426.6,3168.8,2755.6,3173.7,3363.8,4213.8,2086.0,2291.8,2727.4,2403.0,2750.3,2178.2,2659.0,3430.3,4265.4,2764.0,2219.1,2427.8,3254.7,2508.0,3081.3,2588.1,3009.0,2113.0,0.25,0.125,0.5,0.5
14,0.524305556,11.80555556,2.083333333,86.80555556,2334.144,2936.4,2856.9,2963.2,1909.4,2484.1,2692.2,2650.0,1457.6,2090.3,1717.9,2895.4,2638.3,2314.4,2709.7,2547.1,3046.0,2358.4,1930.5,2809.6,1973.0,2302.8,2507.0,1503.6,1350.2,2905.1,2148.7,0.5,0.25,1,0.25
15,1.423611111,28.81944444,5.208333333,70.48611111,2326.1133,2340.0,1967.2,2284.4,2493.2,2135.7,2587.7,2161.3,3063.3,2595.4,1472.7,2338.8,3404.0,3023.0,3033.3,2378.6,3734.0,2536.4,1823.2,2329.8,2032.0,1986.1,2259.3,1431.9,2467.9,2144.5,2063.8,0.5,0.5,0.75,0.5
16,0.586805556,12.84722222,3.125,85.41666667,2609.764228,3124.5,2571.0,2929.0,3395.0,3355.7,3032.0,2061.5,2135.4,2282.2,2419.0,3706.0,2844.5,3545.8,2370.1,2441.6,3083.7,2660.4,2479.4,3034.2,2266.8,2234.2,3306.0,1700.1,2414.7,2440.3,2672.6,0.25,0.5,0.5,0.5
17,0.6875,15.97222222,0.694444444,83.68055556,2402.821577,2389.1,1883.7,2116.0,2381.3,2002.5,2564.0,2768.6,2633.6,2525.1,2230.6,2703.6,2640.3,2031.8,3199.9,2411.8,3922.3,3125.2,2700.5,3047.6,3387.7,2306.3,1854.1,2155.8,1950.8,2386.3,2005.9,0,0.5,0.375,0.125
18,0.270833333,2.430555556,0.694444444,96.875,2204.11828,2847.9,2189.3,2614.0,1609.6,2009.8,2082.1,2827.9,1803.6,1777.8,1682.1,3051.4,2514.7,2572.4,1800.3,2301.9,3945.9,3684.3,1823.9,2840.5,1918.0,1680.6,1923.8,1280.7,2327.8,2102.3,2208.4,0.375,0.5,0.5,0.375
19,0.666666667,14.23611111,5.555555556,82.63888889,2994.987395,5182.0,2870.8,2913.0,2546.3,2594.0,5057.7,5082.0,3143.1,3570.0,2887.4,4258.8,4520.5,3889.0,3094.7,2857.4,5192.1,3811.3,3254.3,1971.6,2741.6,2442.3,2963.5,2057.2,1694.1,3123.9,2369.5,0.375,0.375,0.5,0.25
20,0.989583333,26.38888889,3.819444444,72.91666667,3012.4,3113.5,2367.2,2887.5,2502.3,3196.5,3578.2,3691.8,3139.0,3128.5,2734.0,4207.8,3209.7,2959.7,2576.5,3060.0,3300.8,3509.6,2278.6,2181.4,3537.3,3000.9,3201.9,2450.8,3224.7,2895.9,2970.5,0.5,0.625,0.5,0.25
21,0.638888889,15.27777778,3.819444444,83.33333333,2654.070833,3886.0,3640.4,3097.1,2863.7,2321.0,3457.3,1792.3,2352.8,2974.7,1870.8,2916.8,3195.0,2587.5,3020.9,3557.0,3454.3,2045.2,1970.8,2343.2,1888.9,3720.0,1945.5,2151.0,2000.7,2846.5,2358.6,0.25,0.75,0.25,0.5
